name,id,comment,time,positive_prob,sentiment,pre_sentiment
姜佳鑫杀死了我,1916958654,超喜欢荣浩哥，13年开始哒，希望浩哥多发新歌哈哈，加油哦,2019-12-19 22:43:52,0.990099,2.0,2.0
一直好可惜,382133198,嗯,2019-12-19 22:43:43,0.580796,2.0,2.0
一直好可惜,382133198,抱抱,2019-12-19 22:42:57, , ,1.0
R-星柠,629698310,唔，谢谢你,2019-12-19 22:42:42,0.431468,0,2.0
提拉米苏sbt,2082442991,阿西,2019-12-19 22:41:49,0.537056,1,1.0
提拉米苏sbt,2082442991,这里一串李荣浩的回复,2019-12-19 22:41:33,0.502394,1,1.0
傳説_之上,280419710,麻雀也有明天 大笑 大笑 大笑 ,2019-12-19 22:41:26,0.712745,2,2.0
ShameScc,417298599,爱了,2019-12-19 22:41:20,0.759079,2,2.0
傲娇污软的冬氢,87511253,水手,2019-12-19 22:41:06,0.541366,1,1.0
-Pluto_,586689739,同是寒窗苦读，怎愿甘拜下风,2019-12-19 22:41:00,0.515076,1,1.0
胜利只差一步,285590994,麻雀的故事,2019-12-19 22:40:58,0.698489,2,2.0
胜利只差一步,285590994,麻雀了！,2019-12-19 22:40:47,0.553004,2,1.0
沁诗嫣,2016301275,一样刚分手不到五天,2019-12-19 22:40:30,0.383606,0,0.0
灿烂的情绪载体,563068081,你知道吗？这世上曾经有一条鲸鱼，生了一种疾病，它永远也发不出正常鲸鱼的声音频率，它叫 的每一声都无法被同伴听见，从此就和别的鲸鱼失去了联系。可是它并不知道自己有问题，所以 一直到死之前，它都拼命的在海中呼唤着，直到最后，都没有一条鲸鱼理睬它。于是它就这样， 在孤独的大海里，绝望而痛,2019-12-19 22:40:24,0.0191537,0,0.0
選擇逃亡_,1353613768,加油！能考进年级前三就非常棒啦！,2019-12-19 22:40:19,0.931824,2,2.0
你不懂是me,1571923491,只能说一个好听！,2019-12-19 22:40:16,0.375551,0,0.0
kewunepp,1350312010,李荣浩是什么大宝藏,2019-12-19 22:40:05,0.41458,0,0.0
Dear-boy丶,530147952,那请问您是用什么发的消息呢？,2019-12-19 22:40:05,0.144796,0,0.0
我娶了生活-你嫁了前途,1687014227,你可以活自己想要的任何样子，他人的眼光真的那么重要吗。,2019-12-19 22:39:51,0.511245,1,0.0
-陈几岁,426161007,加油 ,2019-12-19 22:39:10,0.576334,2,2.0
4岁就很皮呢,1734435279,加油！,2019-12-19 22:38:53,0.633244,2,2.0
邸梓烁,598300012,听着周杰伦的歌长大 长大后却喜欢上了李荣浩,2019-12-19 22:38:48,0.757024,2,2.0
我娶了生活-你嫁了前途,1687014227,这不是孤独，这是自由。,2019-12-19 22:38:46,0.152625,0,0.0
JK的Penny,319557310,沉迷学习 逢考必过,2019-12-19 22:38:40,0.852086,2,2.0
漂流的小瓶子89757,1309325885,头都差点挤破了,2019-12-19 22:38:37,0.392176,0,0.0
改个昵称还要积分,339676562,加油，共勉！,2019-12-19 22:38:32,0.602004,2,2.0
听那蓝色鲸鱼,583554236,后天要考研了，自己一定要坚持住！记住自己是努力过的。,2019-12-19 22:38:27,0.844129,2,2.0
董旭林,555560756,加油 ,2019-12-19 22:38:26,0.576334,2,2.0
简月伴,1696353853,加油读书丫,2019-12-19 22:38:23,0.532914,1,1.0
zixzi,2076213090,云村的朋友们，有朋友愿意帮助我一次吗，一天没吃东西了三十就行了，现在真的很潦倒，生而为人，真的很抱歉...,2019-12-19 22:38:22,0.689903,2,2.0
喃_呢,528511785,炒鸡稀饭,2019-12-19 22:37:56,0.577018,2,1.0
我娶了生活-你嫁了前途,1687014227,但凡你能给我点回应，那最后一块甲板又能算得上什么。可你是你，我是我，我也没能赢得那张船票。,2019-12-19 22:37:54,0.245504,0,0.0
X0777,92572609,不自由毋宁死,2019-12-19 22:37:51,0.250151,0,0.0
南安年级第一,1665452842,学习真的好累呀，还有18天期末考啦 看到的陌生人能不能给我一句鼓励呀！我一定会努力考进年级前三的 O ,2019-12-19 22:37:19,0.944281,2,2.0
AA懒得善良,1292533385,同在屋檐下，都是一只小麻雀 可爱 可爱 可爱 ,2019-12-19 22:37:19,0.955016,2,2.0
Scarecrow_稻草人,436590497,赵雷的,2019-12-19 22:37:08,0.629737,2,2.0
秋野由美子,533227419,你心中曾经执剑的少年此刻也混迹在市井之间,2019-12-19 22:36:59, , ,2.0
Scarecrow_稻草人,436590497,我们的时光,2019-12-19 22:36:58,0.740942,2,2.0
这不青衣啊,1596482406,超喜欢哥哥的这首歌 很自由的赶脚,2019-12-19 22:36:51,0.969924,2,2.0
老旧派丶,444932211,新歌已经开始在某音泛滥了 汗 ,2019-12-19 22:36:28,0.331332,0,0.0
安河桥与你和我,1873596679,大哥喜欢你的歌老街还有这首麻雀 大笑 ,2019-12-19 22:36:09,0.813302,2,2.0
elsething,449423125,加油,2019-12-19 22:35:59,0.576334,2,2.0
两只汉堡,1837046780,分了就分了吧别留恋曾经以后的路还得靠自己走加油 可爱 ,2019-12-19 22:35:03,0.65211,2,2.0
简单重复避免了复杂思考,2017295411,知道嘛。我今年高二了，在这次的选位置的时候，我选择了最后一排，我的朋友要和我一起，约好的。但是呢，班主任不同意。今天啊，他在班上说，有的人就是和别人不一样，人都是想向前座，思想不一样，可能就是喜欢犄角旮里搞什么东西吧。,2019-12-19 22:35:00,0.926995,2,0.0
老旧派丶,444932211,好听 ,2019-12-19 22:34:49,0.595459,2,2.0
阿梅爱黑米,288632394,同城大佬,2019-12-19 22:34:44,0.503718,1,1.0
MT丶哀木涕,1442643426,同感啊 喜欢这节奏,2019-12-19 22:34:28,0.738574,2,2.0
小高想要长高,428573708,加油啊,2019-12-19 22:34:18,0.61522,2,2.0
我的Despair,1742850465,唯一一个会回的大咖 ,2019-12-19 22:34:06,0.397065,0,1.0
我一定要变得温柔而又强大,433836942,你拥有的不只是明天，而是整个未来。,2019-12-19 22:34:05,0.821653,2,2.0
小高想要长高,428573708,一定 ,2019-12-19 22:33:58, , ,2.0
隔壁姓王520,1526446833,欧克欧克,2019-12-19 22:33:49,0.534164,1,1.0
不羁小毛驴,541191163,明明是新歌 为什么感觉这节奏好耳熟,2019-12-19 22:33:11,0.27911,0,0.0
国宝级退堂鼓演奏家苏中郎,293385393,一首歌的活你全自己一个人干了，还有什么你不会的李荣浩你果然狂的不睁眼。,2019-12-19 22:33:00,0.128628,0,0.0
MT丶哀木涕,1442643426,听着杰伦的歌长大，长大后却爱上了李荣浩,2019-12-19 22:32:43,0.720596,2,2.0
网易山东网友,595553147,我走了哥哥,2019-12-19 22:32:39,0.589171,2,2.0
什么什么阿粉,480339463,小小的眼睛大大的疑问 ,2019-12-19 22:32:39,0.71435,2,2.0
什么什么阿粉,480339463,得嘞,2019-12-19 22:32:16,0.521793,1,1.0
乔錒,416590890,怎么会怎么有这么好听的歌捏 ,2019-12-19 22:31:55,0.259725,0,0.0
我将以何贺你-,1477770712,我前几天听了一点前奏，今天才发现高潮部分这么好听 流泪 流泪 流泪 ,2019-12-19 22:31:49,0.414323,0,0.0
一直好可惜,382133198,我遭遇那些苦难，你却不管。这就是刚分手不到10天的你。,2019-12-19 22:31:27,0.147664,0,0.0
大约是个冬天吧,1592708329,跨专业来的 感觉啥也没学着,2019-12-19 22:31:10,0.655845,2,0.0
小狐仙白苏苏,1537904647,支持我小眼睛的麻雀,2019-12-19 22:31:02,0.838357,2,2.0
数着日子过1803,1397374820,负于生命 就无穷大！你要明白！,2019-12-19 22:30:47,0.286289,0,0.0
R-星柠,629698310,谢谢,2019-12-19 22:30:41,0.750819,2,2.0
一抹辣椒油,305235667,加油加油，我虽是只小麻雀，我正蓄势待发，等代那天我一展枝头，一鸣惊人，,2019-12-19 22:30:31,0.846815,2,2.0
喜欢薛洋的桦晔,537228920,你成仙我替你留守人间,2019-12-19 22:30:21,0.489634,1,1.0
总有一只爱吃鱼的猫,1365566263,你也许永远不体会不到，爱而不得的那种感受,2019-12-19 22:30:03,0.262744,0,0.0
小肥bulala,494347213,加油啊！,2019-12-19 22:29:43,0.645253,2,2.0
零零也,1432399474,爱了爱了！,2019-12-19 22:29:36,0.622717,2,1.0
数着日子过1803,1397374820,加油,2019-12-19 22:29:32,0.576334,2,2.0
倩姐姐O_o,488980760,听完吴青峰的蜂鸟，再听麻雀，很有感觉。,2019-12-19 22:29:26,0.842115,2,2.0
请对小马好一点,1564900086,加油哦,2019-12-19 22:29:13,0.794555,2,2.0
数着日子过1803,1397374820,加油 你有！,2019-12-19 22:29:11,0.520786,1,2.0
_Fondly,1664126738,听了很多年你的歌了,2019-12-19 22:29:10,0.557195,2,0.0
单眼皮music丶,555575820,太好听了！,2019-12-19 22:29:05,0.507498,1,1.0
秋邱啊,1372614681,是个nb的账号,2019-12-19 22:28:38,0.549633,1,2.0
Dy杀马特,1306616481,爱了,2019-12-19 22:28:25,0.759079,2,2.0
天蛇鱼,559247641,为了艺术梦我拼尽全力，困苦艰辛都咬牙挺了过去，但是从来没有想过会是这样的一个结局，进入的是美院大圈，志愿一退再退，梦想的学校与我失之交臂，你飞翔在雪山之巅，我留在你回忆里面，像麻雀一样卑微，麻雀一样不屈我要考研，完成我未竟的梦想 四年后美院见，我们要在一个城市永远永远不分,2019-12-19 22:28:15,0.883407,2,2.0
蓦然弦断,1888623822,爱了,2019-12-19 22:27:31,0.759079,2,2.0
南方不知北方,1778862313,要是浩哥敢给我点个赞，我明年肯定能展翅高飞！,2019-12-19 22:27:19,0.899723,2,2.0
丨只喵,1846765021,好想推荐给你，但怕你不喜欢,2019-12-19 22:27:18,0.616826,2,2.0
R-星柠,629698310,最近学业跌入谷底，一时有些想不开，感谢那些鼓励我的可爱的人们，我会努力的，一起加油吧 ,2019-12-19 22:27:12,0.953308,2,2.0
-是辰辰-,1796322600,愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光。就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。如若今后没有炬火，你便是唯一的光。,2019-12-19 22:26:52,0.876377,2,2.0
Dear我是你的小可爱吖,1371762851,对呀，学长，你肯定很优秀,2019-12-19 22:26:46,0.789727,2,2.0
peace0with0love,1290763073,Good,2019-12-19 22:26:43,0.562997,2,1.0
CheungEcon,547537764,好听的一批 爱惨了,2019-12-19 22:26:14,0.717112,2,2.0
能与之言者,594294176,一边觉得她不是好人，一边又忍不住有好事想着她，我真是后悔认识你这么个人阿,2019-12-19 22:26:12,0.57319,2,0.0
麸諳,1355468297,加油,2019-12-19 22:26:06,0.576334,2,2.0
用户626320568,626320568,超好听,2019-12-19 22:26:01,0.547362,1,2.0
A0陈增杰,1319665632,好听,2019-12-19 22:25:43,0.595459,2,2.0
长胡子的牙花少女,332831027,江湖义气表达的恰到好处 喜欢 ,2019-12-19 22:25:23,0.955456,2,2.0
Littlegrosfairy,371800256,我也是后天考研，加油啊，我们都是过儿！,2019-12-19 22:24:52,0.707856,2,2.0
裴露1906,1871829385,飞 静,2019-12-19 22:24:47,0.708486,2,1.0
小叁元,277810868,今年你20， 我也刚好20明年我21了， 也你依旧是20我的兄弟，我们打打闹闹认识了已有11年之久 你突然的离开，我来不及面对。,2019-12-19 22:24:35,0.907031,2,2.0
有点点可爱豁,1328686435,有钱人的快乐我想象不到,2019-12-19 22:24:28,0.584514,2,2.0
不过期宝藏女孩,113298668,和你同在 加油 不负青春,2019-12-19 22:24:12,0.570585,2,2.0
也许all,1443160238,好的！！！ 色 色 色 色 ,2019-12-19 22:23:52,0.852299,2,2.0
R-星柠,629698310, 每一天吗,2019-12-19 22:23:47,0.399909,0,0.0
寸光光,504296293,开始重复播放,2019-12-19 22:23:46,0.522005,1,1.0
起个昵称真是太麻烦了烦死了,1413478210,但我可以肯定你鸭，你自己呢，你自己得告诉自己你活着的目的,2019-12-19 22:23:34,0.270505,0,0.0
R-星柠,629698310,谢谢你,2019-12-19 22:23:29,0.60383,2,2.0
R-星柠,629698310,嗯！,2019-12-19 22:23:26,0.633245,2,2.0
A陈小根,333950991,你会拥有每一天,2019-12-19 22:23:01,0.670838,2,2.0
杠精副会长,1546931076,应该是闲得没事玩了一会儿手机 大哭 ,2019-12-19 22:22:57,0.539642,1,2.0
笑一下吧_,383807588,生日快乐 ,2019-12-19 22:22:55,0.562611,2,2.0
在下博人丶有何贵干,1463063253,哥，你害我听的手机没电了,2019-12-19 22:22:45,0.207685,0,0.0
请别浪费我的热情,1332004470,我想拉一个qun里面都是漂泊在云村的人们可以分享自己喜欢的歌曲，民谣里面也不会有任何的小广告你点赞 我私信你 ,2019-12-19 22:22:40,0.900686,2,2.0
笑一下吧_,383807588,加油啊！！,2019-12-19 22:22:37,0.626629,2,2.0
等风夜听雨,1399842458,再会的人，也不一定在能见到吧。虽然感慨，但是还是希望再会可以遇到,2019-12-19 22:22:25,0.702861,2,2.0
有点点可爱豁,1328686435,加油加油！！准备好考研的人都了不起,2019-12-19 22:22:15,0.75143,2,2.0
dusshelter,1346110689, ,2019-12-19 22:22:07, , ,1.0
zdnhy,1328122545,祝你如愿，加油呀 ,2019-12-19 22:22:01,0.625368,2,2.0
张小静啊,1417919381,加油 也祝我,2019-12-19 22:21:45,0.717059,2,2.0
萬径人總滅,1793661941,麻雀也有明天，但是我没有！我只有现在！满天星河，与我无关！满目疮痍，似曾相识！祝君永好。,2019-12-19 22:21:44,0.68447,2,2.0
三年ZYX,1549769933,你超棒，明天会更好,2019-12-19 22:21:44,0.913782,2,2.0
枫糖霜稀饭,602372643,云村评论区 电动车维修论坛,2019-12-19 22:21:37,0.510769,1,0.0
有点点可爱豁,1328686435,别人都祝你归来仍是少年，我祝你你归来成熟又有钱,2019-12-19 22:21:34,0.709475,2,2.0
上半夜没有月亮,283678358,眼睛小却是一个大才子,2019-12-19 22:21:34,0.339577,0,0.0
zdnhy,1328122545,祝你如愿，你可以的,2019-12-19 22:21:32,0.656123,2,2.0
三年ZYX,1549769933,你可以的，加油,2019-12-19 22:21:25,0.699184,2,2.0
荣媛媛19904367170,1973154360,所谓的世间，那是她在的时候。她不在的世间那便是地狱。,2019-12-19 22:21:04,0.101232,0,0.0
唯爱YouN,606611531,后天都有,2019-12-19 22:20:58,0.664144,2,2.0
LanceLom,480957239,这问题跟为什么你工作要工资是一样的,2019-12-19 22:20:51,0.231703,0,0.0
小高想要长高,428573708,加油,2019-12-19 22:20:49,0.576334,2,2.0
良人何时至,310417437,麻雀会有你不一定有,2019-12-19 22:20:49,0.572319,2,2.0
云落轻轻,1455972987,喜欢你们俩 吐舌 ,2019-12-19 22:20:47, , ,2.0
何必C位,1878097071,一定加油啊 无论以后如何你都是最好的自己,2019-12-19 22:20:34,0.7434,2,2.0
不哭泣1809,1594481688,加油！,2019-12-19 22:20:31,0.633244,2,2.0
小高想要长高,428573708,希望2020年金榜题名 不负青春不负自己 ,2019-12-19 22:20:17,0.616204,2,2.0
大仙1998,1632806754,现在让自己变得很优秀很优秀，未来一定会有更优秀的人奔向你,2019-12-19 22:20:11,0.983227,2,2.0
-T_ing-,367825405,加油！,2019-12-19 22:20:11,0.633244,2,2.0
积极又向上的思思,470029517,不知道为什么听起来感觉蛮自由自在的,2019-12-19 22:19:58,0.524911,1,2.0
三生_-2,1603613148,加油。来自初三学子的祝福,2019-12-19 22:19:50,0.675174,2,2.0
k空空kk,1598605970,今天生日，自己都忘了，只有我的姐姐还记得，回往之前，只有18年的生日过的最开心，幸福！因为那是喜欢上了她，并且还有她的礼物，而后来就没有后来了。,2019-12-19 22:19:48,0.983572,2,2.0
300亿活的益生菌,567829642,加油！！会有明天的！,2019-12-19 22:19:45,0.766096,2,2.0
是个非常可爱的女孩子呀,396204225,加油呀！,2019-12-19 22:19:40,0.649842,2,2.0
R-星柠,629698310,麻雀会有明天 我 可能 会有明天 吗,2019-12-19 22:19:34,0.664952,2,2.0
蓦然回首_伊人笑回眸,1296114626,加油,2019-12-19 22:19:17, , ,2.0
龍唸,389603783,呵呵，何尝不是，我的父母也一样，小时候害怕自己成为父母的负担所以选择了辍学，长大了父母却成了自己的负担，明明我自己在外累死累活挣来的工资，在你们眼里是应该，还要索取。何曾有没有关心过我们，哪怕一句工作累吗？,2019-12-19 22:18:40,0.176415,0,0.0
zdnhy,1328122545,祝你如愿，加油 ,2019-12-19 22:18:09,0.598109,2,2.0
不想透露姓名的路人,421540110,后天就考研了，341万考生中普通的我，复习了一年，我不知道能不能考上，我也不知道到考研的那天题目是怎么样，我会不会做，不会做的话我要怎么办，但是这一年里，我不能说我是最有规划的，也不敢说是最有效率的，但是我能说我没有对不起自己，每一天我都有很认真地对待，我知道，麻雀也有明天，我也有,2019-12-19 22:17:56,0.48298,1,2.0
会有鲸落,275415384, . . . . . . . . . . . . . . . . . ,2019-12-19 22:17:46,0.258823,0,1.0
菻棃,1659946487,有种莫名的感动和熟悉 强 强 爱心 爱心 ,2019-12-19 22:17:26,0.949329,2,2.0
zdnhy,1328122545,祝你如愿,2019-12-19 22:17:10,0.544277,1,1.0
天东有木,1472853177,麻雀尚有自由，我们不过是笼中鸡，偶尔在天边破晓时打个鸣，好像也曾有颗翱翔的心,2019-12-19 22:17:03,0.805115,2,2.0
Geeeeetit,1453818117,我啊我啊超级爱你呜呼呼！,2019-12-19 22:16:26,0.643994,2,2.0
W海O贼W,395270216,麻雀守望青天 大笑 ,2019-12-19 22:16:13,0.571302,2,1.0
陈陈陈一年,126507042,我就看着作者霸占热评,2019-12-19 22:16:08,0.461015,1,1.0
辛璃的故事,1784091237,加油 爱心 爱心 爱心 ,2019-12-19 22:15:38,0.601864,2,2.0
krishuai,352368928,听李荣浩的麻雀麻溜出门爬山一口气就上去了没背过去也许两口，三口我想是时候写爬山时我都听些什么,2019-12-19 22:13:55,0.475746,1,0.0
路过你_-,642417192,什么时候才能放过我自己,2019-12-19 22:13:49,0.464671,1,0.0
哈哈呼3,372300735,一日三餐，成全。,2019-12-19 22:13:47,0.581328,2,1.0
___vo,1994853944,向日葵朝着太阳，正如我奔向你,2019-12-19 22:13:13,0.598363,2,2.0
___vo,1994853944,世间美好都值得靠近,2019-12-19 22:12:49,0.908499,2,2.0
青北的亩,377980433,加油,2019-12-19 22:12:47,0.576334,2,2.0
star_gw,531330711,我不要喜欢 喜欢太廉价了 我要的是爱 爱你懂吗 是泰坦尼克沉没后也要把你推到最后一块甲板上,2019-12-19 22:12:43,0.740368,2,0.0
广东抖腿协会常任理事,375888915,你体得见我冇,2019-12-19 22:12:42,0.311313,0,1.0
在某一天老去了,267431812,没钱的时候会觉得有钱就会有快乐了，等有钱了你会觉得自己还是太单纯,2019-12-19 22:12:38,0.418214,0,0.0
小溜妹妹,367118659,你怎么瘦的 说,2019-12-19 22:12:37,0.534374,1,0.0
桃子的皮,514738482,麻雀也有明天！冲呀,2019-12-19 22:12:34,0.689985,2,2.0
___vo,1994853944,加油，努力变成自己理想的样子,2019-12-19 22:12:17,0.517812,1,2.0
樱花树下ol,1519753522,这首歌在班级里放了一遍，真的爱上了 爱心 ,2019-12-19 22:11:09,0.74752,2,2.0
柚子嗝嗝,1462625392,唔,2019-12-19 22:10:54,0.364436,0,1.0
蝶雪孤梦,444497484,莫名的感觉这很适合电视剧的片尾曲,2019-12-19 22:10:44,0.782318,2,2.0
一个陈陈418,285755122,2020年会好的！我会在刚开始的几个月我会努力自学考试的知识，直到成功拿到教师资格证！我要成为一名所有人尊重让我很骄傲的人民教师！我才18，我的人生一定不只是上班和下班，一定还会有单纯可爱孩子们的笑声，还有你们，所以你们也一定要加油鸭！,2019-12-19 22:10:43,0.995206,2,2.0
长乐长安丶,405681602,我。。。。,2019-12-19 22:10:18,0.446518,0,1.0
真君z,430221471,为什么要收费啊,2019-12-19 22:10:08,0.359062,0,0.0
烟smoke烟,1407942397,好听啊,2019-12-19 22:09:49,0.645564,2,2.0
小仙奕,557224057,拥抱你,2019-12-19 22:09:13,0.540685,1,1.0
SSSSSLLLLL-,1844772797,李荣浩居然会回复别人消息！！！！！,2019-12-19 22:09:02,0.0813242,0,0.0
硕鼠爸爸,1479556796,真的爱死了，好好听，没什么好说了。跑步的时候听，就很受感动，甚至都不累了，不知道为什么。,2019-12-19 22:08:34,0.828021,2,2.0
YANG歪歪鸭,541077671,好听哈哈哈,2019-12-19 22:08:28,0.762262,2,2.0
九纭依,1925035574,好近！离你发回复的日子好近！太荣幸了！,2019-12-19 22:08:26,0.388608,0,0.0
考拉的树上,411872803,你说这一句很有那年的感觉,2019-12-19 22:07:42,0.658767,2,2.0
呵呵_jia,1798627620,的确,2019-12-19 22:07:21,0.540648,1,1.0
什么是热爱,1316135848,厉害,2019-12-19 22:07:20,0.398075,0,0.0
施绍伟对不起XSS,604465394,李荣浩居然会回复粉丝评论啊？？？是不是本人啊,2019-12-19 22:07:17,0.127959,0,0.0
拾叁凉喜欢冬天,1581100694,好好爱自己，加油,2019-12-19 22:07:15,0.582806,2,2.0
可以给我一碗绿豆汤吗,136550448,我真的好难过 我姐轻易地否定了我活着的目的,2019-12-19 22:07:02,0.503328,1,0.0
吼吼吼思密达,1440053909,啊，我要考内外妇儿啦 流泪 流泪 流泪 ,2019-12-19 22:06:25,0.646676,2,2.0
星星藏在梦里,269927912,他好像真的去发了公告然后好像被论坛封号了哈哈哈哈哈,2019-12-19 22:06:19,0.860368,2,2.0
小咪鑫,1928409407,我飞翔在乌云之中,2019-12-19 22:05:41,0.559445,2,2.0
和回忆度余生,299574499,我就是一座孤岛，真的没有一个人爱我。,2019-12-19 22:05:37,0.69582,2,2.0
咕咕跟你拼惹,253531053,真好听,2019-12-19 22:05:29,0.561821,2,2.0
Clvblue,493883440,还给了你生命,2019-12-19 22:05:24,0.53439,1,1.0
RRRichou,373668534,窗外的麻雀，在电线杆上多嘴,2019-12-19 22:05:22,0.555626,2,2.0
越过山川,121836038,我要爱死了,2019-12-19 22:05:19,0.329526,0,1.0
不经世事永天真-,1660353651,过年了，该回家了,2019-12-19 22:05:16,0.456567,1,1.0
守望iove,1825497453,李荣浩真是越来越优秀了,2019-12-19 22:04:25,0.471132,1,0.0
背影i伤,564796193,因为你是他们的希望和未来啊,2019-12-19 22:04:10,0.511686,1,2.0
背后十八号,1720084945,飞太慢会落单，太快会受伤,2019-12-19 22:04:04,0.115847,0,0.0
藏头的石榴,89768740, ,2019-12-19 22:03:29, , ,1.0
青丘男神,1296020981,我要飞上世界之巅，你们怎么会知道我做什么。,2019-12-19 22:03:25,0.237128,0,0.0
暮色婚礼,389265513,李荣浩 想赚我的钱 没门！哈哈,2019-12-19 22:03:21,0.64328,2,2.0
阿英菇凉,1383840914,打卡,2019-12-19 22:02:15,0.533254,1,1.0
_麦芽不是糖,550296228,为什么我没有抱怨父母没出息，父母就说我没用。他们可以索取，我不行。就因为给我的一日三餐吗？,2019-12-19 22:01:51,0.0644066,0,0.0
卢小同学,425287632,你的歌总是需要循环 ,2019-12-19 22:01:10,0.508059,1,1.0
平凡世界传奇,74674298, 爱心 爱心 爱心 ,2019-12-19 22:00:42,0.593221,2,2.0
漫长时光总有一天_,282954056,副歌像,2019-12-19 22:00:10,0.508462,1,1.0
唱一支入眠歌,116394941,这个世界上好像没有缘分喔,2019-12-19 22:00:04,0.621799,2,2.0
旧时光之城,1745327366,我爱了，引起了我的共鸣， 多多大哭 多多大哭 多多大哭 ,2019-12-19 22:00:01,0.872293,2,2.0
Jjiyongmin,484374502,高高，你成仙我替你留守人间,2019-12-19 21:59:36,0.536954,1,1.0
枭枭秋风为卿念,1439244261,爱就是两个灵魂你到对方的身体里弥补之前的所有伤口开始第二段人生。,2019-12-19 21:59:04,0.707425,2,2.0
摩登里的小学生,1473659420,有些人注定教你成长，但方式不值得让你感谢。,2019-12-19 21:59:00,0.393754,0,0.0
-节节高,319583102,有理！,2019-12-19 21:58:45,0.558741,2,1.0
庸亻而已,430054252,加油,2019-12-19 21:58:44,0.576334,2,2.0
The_buzz,538413341,嗯,2019-12-19 21:58:42,0.580796,2,2.0
我太难了瞎几把打,1824269631,小眼睛冲冲冲,2019-12-19 21:58:38,0.534658,1,1.0
庸亻而已,430054252,最起码比没钱的时候快乐,2019-12-19 21:58:33,0.400546,0,0.0
一条拿着油条的咸鱼,500261299,我才没有哭啦 只是这根稻草太沉了 ,2019-12-19 21:58:05,0.105229,0,0.0
八点十分M,96245421,就是喜欢听李荣浩的这种调调,2019-12-19 21:57:21,0.458757,1,2.0
阿斯顿快乐多,1323252192,想让浩哥回复我好好学习前途似锦 憨笑 ,2019-12-19 21:57:17,0.335499,0,0.0
残mmmmm余,535432468,扪心自问，有钱真的就会快乐吗？,2019-12-19 21:57:15,0.339073,0,0.0
安保兴,128327232,超级同意！努力活好当下的每一天，未来都会是礼物！,2019-12-19 21:57:10,0.893441,2,2.0
为什么要取个昵称呐,1452531458,很好听,2019-12-19 21:57:09,0.63621,2,2.0
