name,id,comment,time,positive_prob,sentiment
aaaa贺某是吃奥利给大姐,636154593,冒泡,2019/12/13 16:34,0.543411,1
一定要做一个温柔的人L,430635901,先是出山然后又下山下一首是不是炸山？,2019/12/13 16:31,0.285434,0
万事丿勝意,1409744198,骑牛的，我姐如何,2019/12/13 16:31,0.565013,2
U-Cf,1315366261,口齿不清？,2019/12/13 16:30, , 
异名相斥,347582395,多读书少说话,2019/12/13 16:30,0.457604,1
何雨洁-,535679489,人间理想是肖战,2019/12/13 16:30,0.642594,2
黑幽默x,412477790,80000？,2019/12/13 16:28,0.376415,0
一个不愿透露姓名的音乐爱好者,1741497361,好像我的一次经历 ,2019/12/13 16:28,0.422167,0
沐云河,1800883145,哪吒,2019/12/13 16:28, , 
H大梦,1313059054,红袖读书搜索 H大梦,2019/12/13 16:28,0.681403,2
感觉自己像个仙女,1314280510,我觉得先上山再爬山 大哭 大哭 大哭 ,2019/12/13 16:25,0.463047,1
黑幽默x,412477790,嘴里有 有个茄子？,2019/12/13 16:25,0.400149,0
零乱灬-,1571499137,哪怕胡 94tuwpp705478zcyy,2019/12/13 16:24,0.466768,1
不知名的昆虫,1513821119,评论区说的是什么小说？,2019/12/13 16:23, , 
思绪飘远方不回,506687674,脂虎，渭熊，凤年,2019/12/13 16:23,0.683271,2
黑幽默x,412477790,同感，特地查了一下有没有上山,2019/12/13 16:23,0.386424,0
陌声熟语,1696623809,我想修道,2019/12/13 16:21, , 
大妖要吃鱼,1630448344,看来不给你赞是不行了,2019/12/13 16:20,0.274204,0
萨尔布鲁克,110566798,学谁不好学周杰伦，不知道唱的什么。,2019/12/13 16:20,0.17277,0
九度190622,1889416247,可以,2019/12/13 16:20,0.751454,2
若邪---,1499031466,王也就是道，王也就是理,2019/12/13 16:19,0.550839,2
君墨子ing,1986931166,终于发出来了 ,2019/12/13 16:18,0.531159,1
音阙诗听的大龄歌迷,269445669,就知道会有雪中！顶起来！,2019/12/13 16:18,0.771782,2
真的难搞哦哦,646892636,2018 出山2019 下山2020 移山2021 炸山2022 拼山2023 爬山2024 归山,2019/12/13 16:18,0.669159,2
君墨子ing,1986931166,明明发出来了为什么看不到啊，真的是破烦得很，酷我也是，我听首歌有感而发，写了段听这首歌时我脑中显现的场景，打了字，明明发表成功却又看不到，这那么回事嘛？出bug了吗？,2019/12/13 16:17,0.00937297,0
草泥马嘿嘿嘿嘿,511483188,滚。我不搞基，,2019/12/13 16:16, , 
风之彼岸一,541524005,北凉，不悲凉。北凉，死战。,2019/12/13 16:15,0.190851,0
旧O梦v离O殇,1507483348,炸山！ ,2019/12/13 16:15,0.574082,2
加菲猫大爷,258866526,神他妈路人甲 大哭 ,2019/12/13 16:14,0.424897,0
该此账号已注销,1529447561,过年前还也可以炸山的 多多耍酷 ,2019/12/13 16:14,0.782227,2
早餐y,273366114,雪中悍刀行,2019/12/13 16:13,0.50925,1
该此账号已注销,1529447561,可能是叭 呲牙 ,2019/12/13 16:12,0.422297,0
夜深露重情更浓,1381045017,有种一人之下王也的感觉，，，武当王也拜见老天师,2019/12/13 16:12, , 
编辑资料181020,1646918781,导师再见！！！！,2019/12/13 16:11,0.39346,0
君墨子ing,1986931166,“师傅！我下山了！”小徒弟仰着头，笑得率真无邪，脸上有难掩的兴奋。老师傅看着没心没肺的徒弟，摸着下巴上被徒弟偷偷剃掉后刚新长出来的刺儿胡。“小子！要给你师傅我长脸啊！”“放心吧师傅”徒弟转过身，大步流星。“小子！”师傅突然叫住了徒弟“要是受了委屈，就回来！”,2019/12/13 16:11,0.926213,2
妄想解脱,1645562913,九天之云滚滚下垂。整座武当山紫气浩荡。他朗声道 “贫道五百年前散人吕洞玄，五十年前龙虎山齐玄帧，如今武当洪洗象，已修得七百年功德。”“贫道立誓，愿为天地正道再修三百年！” .“只求天地开一线，让徐脂虎飞升！”年轻道士声如洪钟，响彻天地间。,2019/12/13 16:10,0.588724,2
曼珠与,491514499,君只见，君只见三十万铁骑甲天下,2019/12/13 16:09,0.440641,0
是阿羊噢,366035473,我这辈子可能都忘不掉金刚芭比小钢蛋了,2019/12/13 16:08,0.338128,0
Gisele_H,133381715,什么鬼,2019/12/13 16:07,0.305985,0
呖呖啦啦啦呖,284426191,看了抖音，莫名觉得和一夜新娘很搭 多多大笑 ,2019/12/13 16:06,0.277308,0
机智的谢先森,292384805,每次听这首歌总是想起那个一拳就能安排我的妞 惶恐 ,2019/12/13 16:04,0.840778,2
非洲小胖子,320559809,9021年读了研究生还有人因为你成绩不好不和你玩？？,2019/12/13 16:03, , 
张月亮ya,1770322576,在等一个很宠很宠我的人呀,2019/12/13 16:03,0.786474,2
是粟久啊,1805687873,无人上山嘛,2019/12/13 16:03,0.391138,0
Deer-Deer-Deer,1566790945,嘿嘿，一开始就下载还是很正确的,2019/12/13 16:01,0.959693,2
苏炸炸呼呼,254783755,加油 ,2019/12/13 16:01,0.576334,2
顾影迷离,452088445,2018年的出山，今年的下山，明年会是什么山？,2019/12/13 16:00,0.645873,2
你是一个秘密-,334007901,北凉，抽刀。,2019/12/13 15:59,0.354409,0
我曾七次鄙视自己的灵魂-,58597889,尬死了,2019/12/13 15:59, , 
洛水之北丶,310672655,md，雪中的书粉ky的毛病改不过来了吗,2019/12/13 15:58,0.2694,0
喜望江桥,1440304708,？？啥子小说？,2019/12/13 15:58,0.231587,0
李雪_-影,1722903000,我也是 刚听我以为这应该是之前的歌 看时间却是新歌,2019/12/13 15:57,0.39532,0
无所谓-也无畏,1325037100,道法孜然 多多捂脸 肯定很香,2019/12/13 15:56,0.801732,2
15373317617,1515552127,这不下山吗,2019/12/13 15:56,0.15411,0
一次ii,1587150830,月下遛鸟,2019/12/13 15:56,0.554185,2
长谷川辰雄sk,330524377,雪中悍刀行那 不看会后悔,2019/12/13 15:56, , 
巧克力啊晽,1291655289,今天去小学社会实践，问小学生们有没有什么想学的歌， 出山 ！！齐刷刷... ,2019/12/13 15:51,0.396079,0
生有涯-,1504589497,剑来！天不生我李淳罡 T T,2019/12/13 15:51,0.612179,2
我陪你一个人吧,533439383,冲！！！我后天就艺考啦！,2019/12/13 15:49,0.613014,2
哎哟喂丶oc,1594985513,我忘不了那个出了一身肉装的哪吒,2019/12/13 15:47,0.598424,2
奇怪的她11,379595124,给科普一下这首歌,2019/12/13 15:47,0.59084,2
射击能手,265090910,来日方丈,2019/12/13 15:46,0.537965,1
小米也爱撸,345116882,和方文山的曲风有一拼,2019/12/13 15:45,0.669692,2
南橘未熟,1501953851,来日方长,2019/12/13 15:44,0.533316,1
酒只闻不沽,615215672,我永远也忘不了那个金刚芭比 流泪 流泪 流泪 ,2019/12/13 15:42, , 
诗雨只思雨,1896246161,雪中悍刀行,2019/12/13 15:40,0.50925,1
故梦zxm,360062435,你不会是见鬼了吧 大哭 ,2019/12/13 15:38,0.117644,0
wangbosenss,1748842539,见识下雪友的能量！,2019/12/13 15:38,0.519138,1
丿逆羽灬影,473866356,武当王也拜见老天师 西西机智 ,2019/12/13 15:37,0.501219,1
HAOYUXINya,372106934,宝儿姐,2019/12/13 15:37,0.539725,1
文轩万仇,1306623184,风紧！少爷，老黄我就不扯呼了,2019/12/13 15:37,0.202532,0
AEIou丶柒,1665138035,17岁那年我遇见了你,2019/12/13 15:36,0.537734,1
是狗时a,444892471,啥是孜然！？,2019/12/13 15:35,0.377169,0
BLUE_听澈,2062594024,要是配送自来也和鸣人做一个mv感觉也会不错,2019/12/13 15:34,0.808871,2
欲拂还满,644764992,红泥小火炉，绿蚁新培酒,2019/12/13 15:32,0.573887,2
苦寒松柏,589885073,红薯没死啊,2019/12/13 15:30,0.289149,0
白城愿我梦,445930780,雪中悍刀行兄弟不是倚天屠龙记 汗 汗 ,2019/12/13 15:30,0.157174,0
少年的山河,372496221,那年武帝城头，老黄临终死而不倒，身边便是天下第二的王仙芝，老黄只是面北说了一句 “来，给少爷上酒呐。”,2019/12/13 15:29, , 
善裔fallen,316549263,请起,2019/12/13 15:28,0.548914,1
彭彭和老戴,634862706,绿袍你看我这一剑,2019/12/13 15:28,0.483806,1
方中堂,498028466,骑牛的他不敢下山,2019/12/13 15:27,0.438856,0
T1mes0day,274744181,红豆生南国，春来发枝冬凋敝，相思不如不相思。,2019/12/13 15:27,0.0944861,0
一纯白一,447604166,牛批,2019/12/13 15:26,0.535309,1
浊蜀,1483727963,看歌手的名字,2019/12/13 15:26,0.500584,1
尹次獒,578308115,他陈正华懂个屁的剑来！,2019/12/13 15:25,0.336164,0
雪碧好好喝呀,1569197502,这个和声好好听,2019/12/13 15:25,0.513929,1
好人难寻i,543472674,武当王也，拜见老天师,2019/12/13 15:25, , 
尹次獒,578308115,徐凤年不是真无敌，世上由有裴南苇！,2019/12/13 15:24,0.362212,0
苦寒松柏,589885073,那可是刀甲,2019/12/13 15:21,0.334662,0
苦寒松柏,589885073,还有酱油甲陈之豹,2019/12/13 15:20,0.558624,2
CristianoR7丶,403720753,没看过你搁这儿阴阳干啥呢？ 非得在这一层评论？,2019/12/13 15:18,0.11994,0
终身美鹿,342851434,上山？,2019/12/13 15:16,0.397537,0
Catbamboo,361827818,下山要不要买菜？,2019/12/13 15:16,0.37933,0
庆阳耶,1329390977,前年出山 今年下山 明年炸山,2019/12/13 15:14,0.630578,2
迷路的无忧子,287659865,抱大腿,2019/12/13 15:13,0.556701,2
伯牙的大白,1304195514,下山难，上山更难，你品，你细品,2019/12/13 15:13, , 
RIOH太阿,1392745494,给 看哭了,2019/12/13 15:10,0.460865,1
请对凌熙心动,1770235636,那可真巧啊,2019/12/13 15:10,0.54392,1
佟辰,590817381,路人甲 大哭 大哭 ,2019/12/13 15:10,0.523677,1
潇hero,272593722,武当王也拜见老天师,2019/12/13 15:09,0.502435,1
曾江同学,507535971,所以又是一手左手右手的歌 了 大笑 ,2019/12/13 15:08, , 
驚現人間落難人plus,1839551631,下山.,2019/12/13 15:06,0.53639,1
纸鹞-n,1365543421,加油,2019/12/13 15:05,0.576334,2
咚咚咚咚咚滴滴,561243642,好耳熟啊 特别是开头那几句 想不起来是那首歌了,2019/12/13 15:05,0.585766,2
一口O泡,1324284650,我们也爱你！,2019/12/13 15:05,0.820078,2
烤串你吃不__,1773706737,“希望看到这条评论的人永远开心” 星星 ,2019/12/13 15:05,0.423353,0
也许她在终点等你,571741871,看见前排评论全是我大雪中的书迷我就放心了,2019/12/13 15:05,0.821953,2
波多野结衣_RU0S,1475571407,好听啊 爆炸 ,2019/12/13 15:04,0.634944,2
变异的霍巴特人,305860919,最近很丧，有没有人能够缓解一下我现在的心情啊，,2019/12/13 15:02,0.792591,2
Andrew-Nike,350420729,这好好的评论，咋成武侠小说集结地了啊 大哭 ,2019/12/13 15:01, , 
豆豆iQ,600526148,抖音小钢蛋来的,2019/12/13 15:00,0.232496,0
用户1572319764,1572319764,诶！成绩760分考了432！我班一个考了702分的，我觉得和他能比的就只有寿命了！,2019/12/13 15:00,0.607935,2
七殣,441344113,生日快乐，好听,2019/12/13 14:59,0.629671,2
七殣,441344113,好听,2019/12/13 14:58,0.595459,2
皮皮虾190323,1802128705, 多多大笑 ,2019/12/13 14:58, , 
索先生520,1752794161,好好听的歌,2019/12/13 14:57,0.566581,2
不要在人家的夢裡打來打去,1722333559,爱你 3 ,2019/12/13 14:55,0.68047,2
呓语提琴,2074025698,好听啊 多多大笑 ,2019/12/13 14:54,0.728212,2
是鶴不是呵,454895011,雪中悍刀行 ,2019/12/13 14:53,0.50925,1
太狠了鸭,1532136470,除暴安良我心愿,2019/12/13 14:53,0.526141,1
haohaoxcxc,1672096708,六道,2019/12/13 14:52,0.541582,1
我在大青山上,411511503,江南好，最好是红衣,2019/12/13 14:52,0.751609,2
见明是彰,1741970316,今日解签，易下江南。,2019/12/13 14:51,0.452129,1
莱恩lyn,1295277681,不知道别人说的是什么，就瞎回复也真够好笑呢 憨笑 ,2019/12/13 14:50,0.0971556,0
希望王婷永远开心,1600892244,出土,2019/12/13 14:49,0.548167,1
见明是彰,1741970316,今日解签，易一下江。,2019/12/13 14:49, , 
无恶不欢啊,436952445,我裘凯想谈恋爱,2019/12/13 14:48,0.457478,1
我的至尊宝去喜欢别人了,1552098704,那首 出山 火的时候我正热恋，现在这首 下山 火了，我却已经分手了 哀伤 ,2019/12/13 14:48,0.683111,2
墨城旧,292740022,要是人和人之间的关系也能恢复出厂设置就好了 我想重新认识你 以更好的方式,2019/12/13 14:47,0.582751,2
小小啊洁呀,499744446,从出山 到下山 再过几个月就会出一首叫上山的歌了 ,2019/12/13 14:46,0.534832,1
浅梦南柯1807,1514723448,我也想到王也了，哈哈。,2019/12/13 14:46, , 
子木hy,493686765,再等等吧,2019/12/13 14:45,0.339302,0
HShown,645574390,有！,2019/12/13 14:44,0.650829,2
睡在热铁皮屋顶上的猫,387960426,黑黑,2019/12/13 14:43,0.483251,1
鲨鱼逃到海里,546591527,北凉铁骑甲天下,2019/12/13 14:41,0.476744,1
该ID因为太帅想不出来,498473744,弃青衫,2019/12/13 14:41,0.507763,1
请对凌熙心动,1770235636,在下武当王也,2019/12/13 14:40,0.521321,1
一生jacky,313809025,哈哈哈，有道理,2019/12/13 14:39, , 
旧人未南归,1301291691,李淳罡一愿世间心诚剑士人人会两袖青蛇。李淳罡二愿天下惊艳后辈人人可剑开天门。,2019/12/13 14:39,0.927003,2
穴居的小幽灵,395086683,没看歌词以前一直听成“等我的人叫小龙” 多多笑哭 ,2019/12/13 14:38,0.365117,0
柒良辰,1657313747,去年火的一首出山，今年火了一首下山，明年呢移山还是炸山？,2019/12/13 14:37,0.623229,2
小明1433223,1364070448,这句话陪着首歌不是绝配吗？,2019/12/13 14:35,0.176656,0
小明1433223,1364070448,这句话一天不上热评，我就每天来评论一次,2019/12/13 14:35,0.435013,0
小明1433223,1364070448,今日解签，宜下江南,2019/12/13 14:35,0.540208,1
温晴1912,2066675057,我觉得是“回不去了。”,2019/12/13 14:34, , 
Sucralose-,1751170045,其实是眉间雪剧情版的文案来着。。刚刚听的时候想到了这个就评论了，你可以去听听那首歌 ,2019/12/13 14:32,0.754337,2
做梦都想穿越的灵隐大人,487764302,阿福揍扁了成龙,2019/12/13 14:30,0.48047,1
王鹏举a,533953159,骑鹤下江南救红衣，人屠病榻弥留之际，白衣缟素击鼓，徐念凉那句娘亲死了。我一个大男人的泪水怎么也止不住。可能，徐凤年经历的，是每个男生心中，羡慕却又不想经历的事情吧。,2019/12/13 14:29,0.0556733,0
比芭卜吃泡泡糖,290226735,感人 可爱 ,2019/12/13 14:28,0.787582,2
温华_v,1778443472,此剑抚平天下不平事，此剑无愧天下有愧人。,2019/12/13 14:27,0.133139,0
世界都在朕的掌握之中,613584535,第1314个评论,2019/12/13 14:26,0.497482,1
牛逼puss,1492038314,下山别买猪肉 不然你就不下山了,2019/12/13 14:25, , 
越冬虫风,115532887,这歌真是配张震的,2019/12/13 14:23,0.40948,0
小桃枝--,1450191872,是小说,2019/12/13 14:23,0.551806,2
元元不爱糖糖,516011804,孜然是我想的孜然吗,2019/12/13 14:23,0.458471,1
诺言家的键盘,1286014690,学下山,2019/12/13 14:21,0.610507,2
烧仙未加草,1484701176,把小师叔带入后给爷整笑了,2019/12/13 14:21, , 
J-Antichrist,567278871,欢快的令人嘴角上扬 ,2019/12/13 14:18,0.589257,2
仟酒醉,2005609223,很好听,2019/12/13 14:17,0.63621,2
Willyeah,328040341,下江南的事，以后的再说吧,2019/12/13 14:17,0.593304,2
神偷扑克,259426180,我第一反应是想起了 道士下山 这电影,2019/12/13 14:17,0.55223,2
禾枫未闻,1639560210,山下女人是老虎，千万莫碰得 ,2019/12/13 14:15,0.204226,0
你好衡子,1797562543,啊啊啊啊,2019/12/13 14:14,0.509069,1
hhhuihyy,565025607,李总你好,2019/12/13 14:14,0.597452,2
hhhuihyy,565025607,擦1擦1擦1,2019/12/13 14:14,0.241948,0
---肉包-,9922129,不自觉的想到了 一人之下的王也 爱了,2019/12/13 14:13,0.701273,2
秋冬将至,1415747264,今日解签，宜下江南,2019/12/13 14:13,0.540208,1
Victory-冥凰,311801188,我最受,2019/12/13 14:12,0.423174,0
找一份阳光,1303419043,今日解签，宜下江南。,2019/12/13 14:12,0.532394,1
BOR丶ING,423120715,这首歌被那个肌肉哪吒给毁了。,2019/12/13 14:12,0.100933,0
南风微微吹d,1620742374,雪中悍刀行 ,2019/12/13 14:11,0.50925,1
寻找未知的大地,2028145649,啥时候上山,2019/12/13 14:11,0.491703,1
你好衡子,1797562543,擦擦擦,2019/12/13 14:11,0.416605,0
灯火阑珊-,376532095,下山要不要买菜,2019/12/13 14:10, , 
盗贼_2lrv,1989061379,去年出山，今年下山，明年炸山，后年移山 ,2019/12/13 14:10,0.716282,2
赐你人间,1816551156,我韩前辈何在啊,2019/12/13 14:08,0.492196,1
半梦半醒半相随,434984905,好听,2019/12/13 14:08,0.595459,2
一心怡情小鹿砸,1659115400,去年出山，今年下山，明年封山？ 西西奸笑 ,2019/12/13 14:07,0.612199,2
挽挽爱你,1923960912,去年出山，今年下山,2019/12/13 14:05,0.594594,2
是你的张张啊YOY,2014604176,什么时候能遇见我的他呢,2019/12/13 14:04,0.650238,2
真TM没素质-,1711272859,也太好听了吧！,2019/12/13 14:03,0.495609,1
zzq宬,1516920052,我现在看到剑来更新那里了，然后就卡住了，剑来风流比雪中少了点，更多的是揪心，问心及深，我与我周旋久宁作我,2019/12/13 14:03,0.68124,2
顾飞选手的小迷妹,1881561239,笔芯,2019/12/13 14:03,0.539562,1
婷婷婷总啊,1419799231,有点心酸,2019/12/13 14:03,0.282905,0
搞siao的程序猴,551495459,第一次听这首歌，是抖友给他家古风猫咪配的音乐，喜欢那只猫更喜欢这首歌。,2019/12/13 14:01,0.803083,2
比如通过,298308552,打破零回复的最关键一步,2019/12/13 14:01,0.402429,0
zA9527,1312562218,要想练就绝世武功，就要忍受常人难忍受的痛！！！,2019/12/13 14:00,0.0140759,0
夏小绿ins,418589820,雪中来了，剑来还会远么,2019/12/13 14:00,0.852248,2
回头望吧,336037283,哼 哈 我是黑虎阿福 看我乌鸦坐飞机 龙卷风摧毁停车场,2019/12/13 14:00,0.622389,2
zzq宬,1516920052,剑来风流少了点，更多的是揪心啊,2019/12/13 14:00,0.522562,1
米熊王国辉,576350784,武当当兴 当兴在玉斧,2019/12/13 13:59,0.404085,0
藏不住的帅ii,515371178,迟早10w 先占个座 吐舌 ,2019/12/13 13:58,0.317896,0
夏至未知smile,250909046,风紧，扯呼！,2019/12/13 13:58,0.355463,0
__喧哗__,489809459,雪中,2019/12/13 13:57,0.572866,2
夏至未知smile,250909046,雪中悍刀行 可以看一下 大笑 ,2019/12/13 13:57, , 
一鸣先生i,596260917,你们抓鲁迅干我周树人什么事儿,2019/12/13 13:57,0.39288,0
Jrsdiya_,442856532,开头好像十方天下的调调,2019/12/13 13:56,0.659735,2
一杯闲暇,421261087, 多多大笑 ,2019/12/13 13:55,0.63606,2
风青莲,408530518,什么意思,2019/12/13 13:54,0.254317,0
zzq宬,1516920052,这首歌雪中包场了,2019/12/13 13:53, , 
zzq宬,1516920052,这首歌雪中包场了 吐舌 吐舌 ,2019/12/13 13:51,0.623404,2
孤梦思彦,1502978755,天下风流，曹长卿独得八斗,2019/12/13 13:51,0.489009,1
妄想解脱,1645562913,不肖子孙轩辕敬城，恳请老祖宗赴死,2019/12/13 13:50,0.418604,0
赵高兴最可爱,276813578,今日解签，宜下江南。翻唱留名 大笑 希望大家支持小歌手也能给我留个名,2019/12/13 13:50,0.827339,2
我的十二很好看,1773458526,去年出山，今年下山，明年是不是就要炸山？,2019/12/13 13:48,0.462953,1
阿基米德fame,1704226927,真的很棒，谢谢你带来呢么好的歌曲。,2019/12/13 13:47,0.940027,2
胡桃夹子的小苹果,381372883,要想练就绝世武功，就要忍受常人难受的痛 常人难忍受的痛是什么呢？师傅喜欢喝的茶叫做乌龙，衣服爱穿中国红 最难的是这些小事,2019/12/13 13:45,0.0227185,0
大白很优秀x,377617920,我带你下山吧,,0.487923,1
Sucralose-,1751170045,“师傅，我冷，我想吃糖葫芦”“为师前两日给你做了件衣裳，你看喜不喜欢，前面有卖糖葫芦的，喜欢哪串为师给你买”“师傅真好，徒儿长大后一定要名扬江湖保护师傅”“我都说了我不吃糖葫芦，你做的衣裳这么丑我不穿”“ ”“师傅，前面有买糖葫芦的，我买来我们一起吃好嘛？师傅？”,2019/12/13 13:44,0.711442,2
Deliciouslyvein-,369384840,乔碧萝女士发起了与您结婚的邀请 拒绝 同意,2019/12/13 13:44,0.413571,0
BOSS丶我,370849707,曹长卿轻声道 “春秋之中，风雨飘摇，有人抱头痛哭，有人檐下躲雨，有人借伞披蓑，唯我大楚绝不避雨，宁在雨中高歌死，不去寄人篱下活。”,2019/12/13 13:44,0.352687,0
猜对了我也不说,540741404,武当王也，拜见老天师,2019/12/13 13:43,0.504896,1
丶孤孤孤孤孤城,1812816036,洪洗象,2019/12/13 13:43,1,1
梒枓,1900548915,今天是我第一次听这首歌，但有一种很熟悉的感觉,2019/12/13 13:42,0.835952,2
Judger-Z,1580902593,不知道怎么就想到了王也道长和灵玉真人 多多大笑 ,2019/12/13 13:42,0.727828,2
ZM侠盗,1441893263,不知道为啥，听到老联想到 一夜新娘 ,2019/12/13 13:41,0.319082,0
挥剑断生路,1927026534,有嘞，还有，人家叫黄阵图。,2019/12/13 13:41,0.418961,0
Tong_BaBa,403290941,忍不住想起那个金刚芭比娃,2019/12/13 13:40,0.686754,2
Evila丶花池,1714694802,应该是道法自然吧，为什么是道法孜然？？？？？ 烤肉吗,2019/12/13 13:40,0.133342,0
ZM侠盗,1441893263,一样一样，我也是,2019/12/13 13:40,0.442623,0
考不进前一百不改名,1554458111,哈哈哈哈哈拭目以待吧,2019/12/13 13:39,0.849335,2
故事听完再走吧丶,1777711289,天不生我李淳钢，剑道万古如长夜，剑来！,2019/12/13 13:38,0.599474,2
Mr-不二虫,509106148,什么时候有的？？？我qq音乐会员都开好了,2019/12/13 13:37, , 
就我啊什么都没有,497612503,兄弟，看完第一句感觉直戳泪点,2019/12/13 13:36,0.406054,0
请叫我前男友__,33171752,小二，上酒,2019/12/13 13:35,0.638213,2
挥剑断生路,1927026534,不过老黄记起了跟少年一起颠沛流离的三年，新悟出的那第九剑，被少爷取名“六千里”。老黄傻呵呵咧嘴一笑，快步小跑登楼。有这一剑。什么都没有关系了。“少爷，你还有很长的路要走，别学老黄，记得风紧扯呼。”,2019/12/13 13:34,0.552287,2
田大锤子,1878073437,此歌必火,2019/12/13 13:34,0.709076,2
世俗2002,1931927040,2018年末一首叫出山的歌火了2019年末一首叫下山的歌火了2020年是不是该归山了 ,2019/12/13 13:33, , 
带哥金闪闪,261593565,听到这首歌 看了你们的评论 我又看了遍雪中,2019/12/13 13:32,0.410333,0
冷魅铃,1827554612,是多放孜然 ,,0.566762,2
Decade501725,1644335921,看到这么多的热评，瞬间想起来追雪中的日子.....不过评论里有没有看着热评一脸懵逼的 多多笑哭 多多笑哭 ,2019/12/13 13:32, , 
onerlj,606598471,雪中数风流，剑来正三观,2019/12/13 13:32,0.745041,2
炸天帮李潇遥,617744702,凤年凤年，唯两袖清风，哈哈哈 ,2019/12/13 13:32,0.760599,2
高晨梦,344793008,好听,2019/12/13 13:31,0.595459,2
高晨梦,344793008,太喜欢了，,2019/12/13 13:31,0.5913,2
